,Filing Name,Filing Date,Filing Type,Industry,Province,Link
14,Okje Cho & Family Enterprise Ltd. (“Okje”) and 2341567 Ontario Ltd. (“234 Ontario”),2021-05-25,Receivership,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/okje-cho-family-enterprise-ltd-okje-and-2341567-ontario-ltd-234-ontario/
15,P7 Construction Ltd. (“P7 Construction”) and 1619904 Alberta Ltd. (“161 Alberta”),2021-05-21,Receivership,Construction,Alberta,https://insolvencyinsider.ca/filing/p7-construction-ltd-p7-construction-and-1619904-alberta-ltd-161-alberta/
16,Clearbeach Resources Inc. and Forbes Resource Corp. (the “Companies”),2021-05-20,CCAA,Oil and Gas,Ontario,https://insolvencyinsider.ca/filing/clearbeach-resources-inc-and-forbes-resource-corp-the-companies/
17,MetalsTech Terre des Montagnes Lithium Inc. and MetalsTech Wells-Lacourciere Lithium Inc.,2021-05-20,Bankruptcy,Mining,Quebec,https://insolvencyinsider.ca/filing/metalstech-terre-des-montagnes-lithium-inc-and-metalstech-wells-lacourciere-lithium-inc/
18,Salt Bush Energy Ltd.,2021-05-19,CCAA,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/salt-bush-energy-ltd-2/
19,Alberta Foothills Properties Ltd.,2021-05-17,Receivership,Real Estate,Alberta,https://insolvencyinsider.ca/filing/alberta-foothills-properties-ltd/
20,Forthryte Services Inc.,2021-05-14,Receivership,Cleantech,Alberta,https://insolvencyinsider.ca/filing/forthryte-services-inc/
21,SafetyTek Software Ltd.,2021-05-13,NOI,Technology,Saskatchewan,https://insolvencyinsider.ca/filing/safetytek-software-ltd/
22,Model Panel Manufacturing Ltd.,2021-05-07,Bankruptcy,Construction,Alberta,https://insolvencyinsider.ca/filing/model-panel-manufacturing-ltd/
23,BioÉnergie AE Côte-Nord Canada Inc.,2021-05-05,CCAA,Biotech,Quebec,https://insolvencyinsider.ca/filing/bioenergie-ae-cote-nord-canada-inc-which-is-a-joint-venture-founded-in-2012-between-biogaz-sp-s-e-n-c-and-ensyn-bioenergy-canada-inc/
24,10502715 Canada Inc. (“GP”),2021-05-04,Bankruptcy,Real Estate,Ontario,https://insolvencyinsider.ca/filing/10502715-canada-inc-gp/
25,DH Group Inc.,2021-04-30,Bankruptcy,Food & Accommodation,Newfoundland,https://insolvencyinsider.ca/filing/dh-group-inc/
26,YG Limited Partnership and YSL Residences Inc.,2021-04-30,NOI,Real Estate,Ontario,https://insolvencyinsider.ca/filing/yg-limited-partnership-and-ysl-residences-inc/
27,Bridging Finance Inc. (“BFI”),2021-04-30,Receivership,Financial Services,Ontario,https://insolvencyinsider.ca/filing/bridging-finance-inc-bfi/
28,Alter NRG Corp.,2021-04-29,Receivership,Biotech / Cleantech,Alberta,https://insolvencyinsider.ca/filing/alter-nrg-corp/
29,WA Grain & Pulse Solutions,2021-04-26,Receivership,Food & Accommodation,Alberta,https://insolvencyinsider.ca/filing/wa-grain-pulse-solutions/
30,Coalspur Mines (Operations) Ltd.,2021-04-26,CCAA,Mining,Alberta,https://insolvencyinsider.ca/filing/coalspur-mines-operations-ltd/
31,Yellow Arrow Oiltools Ltd.,2021-04-23,Bankruptcy,Professional Services,Alberta,https://insolvencyinsider.ca/filing/yellow-arrow-oiltools-ltd/
32,Sanling Energy Ltd.,2021-04-23,Receivership,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/sanling-energy-ltd/
33,"International Fitness Holdings Inc., International Fitness Holdings LP, and World Health North LP (collectively, the “Company”)",2021-04-23,NOI,Other,Alberta,https://insolvencyinsider.ca/filing/international-fitness-holdings-inc-international-fitness-holdings-lp-and-world-health-north-lp-collectively-the-company/
34,People Express Transport Ltd.,2021-04-22,Receivership,Transportation,Alberta,https://insolvencyinsider.ca/filing/people-express-transport-ltd/
35,Tetu Island Lodge,2021-04-21,Receivership,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/tetu-island-lodge/
36,2624827 Ontario Inc.,2021-04-19,Receivership,Other,Ontario,https://insolvencyinsider.ca/filing/2624827-ontario-inc/
37,Central Park Ajax Developments Phase 1 Inc.,2021-04-15,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/central-park-ajax-developments-phase-1-inc/
38,The Midas Investment Corporation,2021-04-06,Receivership,Financial Services,Ontario,https://insolvencyinsider.ca/filing/the-midas-investment-corporation/
39,Spartan Bioscience Inc.,2021-04-05,NOI,Biotech,Ontario,https://insolvencyinsider.ca/filing/spartan-bioscience-inc/
40,Fireweed Brewing Corp.,2021-04-04,Bankruptcy,Food & Accommodation,British Columbia,https://insolvencyinsider.ca/filing/fireweed-brewing-corp/
41,Ontario Electronic Stewardship (“OES”),2021-04-01,Liquidation,Other,Ontario,https://insolvencyinsider.ca/filing/ontario-electronic-stewardship-oes/
42,Nascent (Tisdale) Inc.,2021-03-31,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/nascent-tisdale-inc/
43,EncoreFX Inc.,2021-03-30,CCAA,Financial Services,British Columbia,https://insolvencyinsider.ca/filing/encorefx-inc/
44,"Aluminart Products Limited, Arcor Windows & Doors Inc., and N.A.P. Windows & Doors Ltd.",2021-03-29,Receivership,Manufacturing,Ontario,https://insolvencyinsider.ca/filing/aluminart-products-limited-arcor-windows-doors-inc-and-n-a-p-windows-doors-ltd/
45,1908736 Ontario Limited (fka Cole Engineering Group Ltd.) and CEG Partners Inc.,2021-03-26,Bankruptcy,Professional Services,Ontario,https://insolvencyinsider.ca/filing/1908736-ontario-limited-fka-cole-engineering-group-ltd-and-ceg-partners-inc/
46,Société en commandite Industriel-Léger (“SEC”),2021-03-26,Receivership,Real Estate,Quebec,https://insolvencyinsider.ca/filing/societe-en-commandite-industriel-leger-sec/
47,1465770 Alberta Ltd. o/a Westlake Husky,2021-03-24,Receivership,Retail,Alberta,https://insolvencyinsider.ca/filing/1465770-alberta-ltd-o-a-westlake-husky/
48,Morris Group of Companies,2021-03-23,Bankruptcy / Receivership,Distribution / Manufacturing,Saskatchewan,https://insolvencyinsider.ca/filing/morris-group-of-companies-2/
49,193069 Canada Inc.,2021-03-23,NOI,Distribution,Quebec,https://insolvencyinsider.ca/filing/193069-canada-inc/
50,Hydrx Farms Ltd.,2021-03-22,CCAA,Cannabis,Ontario,https://insolvencyinsider.ca/filing/hydrx-farms-ltd/
51,"Drexler Construction Limited (“Drexler”), Folmur Construction (2004) Ltd. (“Folmur”), and Down Under Pipe and Cable Locating Ltd. (“Down Under”)",2021-03-18,NOI,Construction,Ontario,https://insolvencyinsider.ca/filing/drexler-construction-limited-drexler-folmur-construction-2004-ltd-folmur-and-down-under-pipe-and-cable-locating-ltd-down-under/
52,2607380 Ontario Inc.,2021-03-18,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/2607380-ontario-inc/
53,AVAD Canada Ltd.,2021-03-17,Receivership,Distribution,Ontario,https://insolvencyinsider.ca/filing/avad-canada-ltd/
54,"Knotel Canada, Inc.",2021-03-12,CCAA,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/knotel-canada-inc/
55,Mamatas Real Estate Holdings Unlimited Liability Company,2021-03-11,Receivership,Real Estate,British Columbia,https://insolvencyinsider.ca/filing/mamatas-real-estate-holdings-unlimited-liability-company/
56,Orbit Freight Ltd.,2021-03-11,Receivership,Transportation,Ontario,https://insolvencyinsider.ca/filing/orbit-freight-ltd/
57,GS ER Canada Inc.,2021-03-11,NOI,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/gs-er-canada-inc/
58,Copetrex Oil & Gas Co. Ltd.,2021-03-09,Bankruptcy,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/copetrex-oil-gas-co-ltd/
59,Just Energy Group Inc. (TSX:JE),2021-03-09,CCAA,Oil and Gas,Ontario,https://insolvencyinsider.ca/filing/just-energy-group-inc-tsxje/
60,Gain Energy Ltd.,2021-03-08,Proposal,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/gain-energy-ltd/
61,Ardenton Capital Corporation (“ACC”),2021-03-05,CCAA,Financial Services,British Columbia,https://insolvencyinsider.ca/filing/ardenton-capital-corporation-acc/
62,WG London Fitness Inc. et al.,2021-03-04,CCAA,Other,Ontario,https://insolvencyinsider.ca/filing/wg-london-fitness-inc-et-al/
63,Bryn Gwyrdd Holdings Inc. (“BGHI”) and Mynyddoedd Holdings Inc. (“MHI”),2021-03-04,Liquidation,Other,British Columbia,https://insolvencyinsider.ca/filing/bryn-gwyrdd-holdings-inc-bghi-and-mynyddoedd-holdings-inc-mhi/
64,"Toolplas Systems Inc., and Tool Processing Solutions Inc. (o/a TPS Global) (collectively the “Company”)",2021-03-03,Receivership,Manufacturing,Ontario,https://insolvencyinsider.ca/filing/toolplas-systems-inc-and-tool-processing-solutions-inc-o-a-tps-global-collectively-the-company/
65,0932293 B.C. Ltd. (o/a CELLICON),2021-03-02,Bankruptcy,Retail,British Columbia,https://insolvencyinsider.ca/filing/0932293-b-c-ltd-o-a-cellicon/
66,Change of Scandinavia Canada Retail Inc.,2021-03-02,NOI,Retail,Quebec,https://insolvencyinsider.ca/filing/change-of-scandinavia-canada-retail-inc/
67,Watershed Solutions Inc. (“WSI”),2021-02-19,Receivership,Professional Services,British Columbia,https://insolvencyinsider.ca/filing/watershed-solutions-inc-wsi/
68,Atis Group,2021-02-19,CCAA,Manufacturing,Quebec,https://insolvencyinsider.ca/filing/atis-group/
69,"TGF Acquisition Parent Ltd., Sun Rich Fresh Foods Inc. and Tiffany Gate Foods Inc.",2021-02-17,CCAA,Food & Accommodation,British Columbia,https://insolvencyinsider.ca/filing/tgf-acquisition-parent-ltd-sun-rich-fresh-foods-inc-and-tiffany-gate-foods-inc/
70,2660807 Ontario Inc.,2021-02-12,Receivership,Food & Accommodation / Oil and Gas,Ontario,https://insolvencyinsider.ca/filing/2660807-ontario-inc/
71,Eaglesmed Group Inc. (“Eaglesmed”) and Chris Musah Professional Corporation (“CMPC”),2021-02-12,Receivership,Healthcare,Alberta,https://insolvencyinsider.ca/filing/eaglesmed-group-inc-eaglesmed-and-chris-musah-professional-corporation-cmpc/
72,"JD Norman Canada, ULC",2021-02-12,Receivership,Manufacturing,Ontario,https://insolvencyinsider.ca/filing/jd-norman-canada-ulc/
73,Calgary Oil & Gas Syndicate Group Ltd.,2021-02-11,CCAA,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/calgary-oil-gas-syndicate-group-ltd/
74,Services Clean d’Oeil Inc.,2021-02-08,Bankruptcy,Professional Services,Quebec,https://insolvencyinsider.ca/filing/services-clean-doeil-inc/
75,Rockshield Engineered Wood Products ULC,2021-02-08,NOI,Manufacturing,Ontario,https://insolvencyinsider.ca/filing/rockshield-engineered-wood-products-ulc/
76,T-Rex Contracting Inc.,2021-02-04,Receivership,Construction,Alberta,https://insolvencyinsider.ca/filing/t-rex-contracting-inc/
77,Tradesmen Enterprises Limited Partnership (“TELP”),2021-02-01,NOI,Professional Services,Alberta,https://insolvencyinsider.ca/filing/tradesmen-enterprises-limited-partnership-telp/
78,Laurentian University,2021-02-01,CCAA,Education,Ontario,https://insolvencyinsider.ca/filing/laurentian-university/
79,Kanwal Inc.,2021-01-29,CCAA,Manufacturing,Quebec,https://insolvencyinsider.ca/filing/kanwal-inc-2/
80,Beaver Lake Resources Corporation,2021-01-28,Bankruptcy,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/beaver-lake-resources-corporation/
81,Yatsen Group of Companies Inc.,2021-01-25,CCAA,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/yatsen-group-of-companies-inc/
82,10268054 Canada Corp.,2021-01-21,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/10268054-canada-corp/
83,"FIGR Brands, Inc., FIGR Norfolk Inc., and Canada’s Island Garden Inc. (collectively, the “FIGR Group”)",2021-01-21,CCAA,Cannabis,Ontario,https://insolvencyinsider.ca/filing/figr-brands-inc-figr-norfolk-inc-and-canadas-island-garden-inc-collectively-the-figr-group/
84,Rockwater on Main Inc.,2021-01-21,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/rockwater-on-main-inc/
85,Allied Track Services Inc.,2021-01-21,NOI,Professional Services,Ontario,https://insolvencyinsider.ca/filing/allied-track-services-inc/
86,Metro Paving and Roadbuilding Ltd.,2021-01-20,Receivership,Construction,Alberta,https://insolvencyinsider.ca/filing/metro-paving-and-roadbuilding-ltd/
87,Boutique Tristan & Iseut Inc.,2021-01-20,CCAA,Retail,Quebec,https://insolvencyinsider.ca/filing/boutique-tristan-iseut-inc/
88,Advantagewon Capital Corp.,2021-01-18,Receivership,Financial Services,Ontario,https://insolvencyinsider.ca/filing/advantagewon-capital-corp/
89,Algold Resources Ltd. (TSX: ALG),2021-01-15,NOI,Mining,Quebec,https://insolvencyinsider.ca/filing/algold-resources-ltd-tsx-alg/
90,Unique Restoration Ltd.,2021-01-14,Receivership,Professional Services,British Columbia,https://insolvencyinsider.ca/filing/unique-restoration-ltd/
91,Kalco Farms Ltd. (“Farms”),2021-01-14,Receivership,Agriculture,Alberta,https://insolvencyinsider.ca/filing/kalco-farms-ltd-farms/
92,Salt Bush Energy Ltd.,2021-01-13,NOI,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/salt-bush-energy-ltd/
93,Destiny Organics Inc.,2021-01-04,Bankruptcy,Agriculture,Alberta,https://insolvencyinsider.ca/filing/destiny-organics-inc/
94,EzTix Event Ticketing Inc.,2020-12-29,NOI,Professional Services,British Columbia,https://insolvencyinsider.ca/filing/eztix-event-ticketing-inc/
95,Studio Black Suede Inc.,2020-12-24,NOI,Retail,Quebec,https://insolvencyinsider.ca/filing/studio-black-suede-inc/
96,Yoga Centre Toronto,2020-12-23,Bankruptcy,Other,Ontario,https://insolvencyinsider.ca/filing/yoga-centre-toronto/
97,"Dundas Retirement Place Inc., Maple Retirement Homes Inc., and 1059244 Ontario Inc.",2020-12-23,Receivership,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/dundas-retirement-place-inc-maple-retirement-homes-inc-and-1059244-ontario-inc/
98,Mr. Manjoo Logistics Ltd.,2020-12-21,Bankruptcy,Transportation,Ontario,https://insolvencyinsider.ca/filing/mr-manjoo-logistics-ltd/
99,2335779 Ontario Inc.,2020-12-17,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/2335779-ontario-inc/
100,"Safeguard Real Estate Investment Fund IV Limited Partnership and CEP LP Investment Corp. (“CEP”) (collectively, the “Defendants)",2020-12-12,Receivership,Financial Services,Alberta,https://insolvencyinsider.ca/filing/safeguard-real-estate-investment-fund-iv-limited-partnership-and-cep-lp-investment-corp-cep-collectively-the-defendants/
101,Cambridge Group Inc. (the “Group”),2020-12-11,CCAA,Other,Ontario,https://insolvencyinsider.ca/filing/cambridge-group-inc-the-group/
102,Brant Telephone Inc.,2020-12-11,NOI,Technology,Ontario,https://insolvencyinsider.ca/filing/brant-telephone-inc/
103,Juch-Tech,2020-12-09,Receivership,Technology,Ontario,https://insolvencyinsider.ca/filing/juch-tech/
104,Ellis Fabrication Inc. et al.,2020-12-03,Receivership,Manufacturing,Alberta,https://insolvencyinsider.ca/filing/ellis-fabrication-inc-et-al/
105,2423402 Ontario Inc.,2020-12-03,Bankruptcy,Construction,Ontario,https://insolvencyinsider.ca/filing/2423402-ontario-inc-2/
106,2423402 Ontario Inc.,2020-12-03,Bankruptcy,Construction,Ontario,https://insolvencyinsider.ca/filing/2423402-ontario-inc-3/
107,Haggar Canada Direct Co. (“Haggar”),2020-12-02,Bankruptcy,Retail,Ontario,https://insolvencyinsider.ca/filing/haggar-canada-direct-co-haggar/
108,Academie Linguistique Internationale Inc.,2020-12-01,Bankruptcy,Education,Quebec,https://insolvencyinsider.ca/filing/academie-linguistique-internationale-inc/
109,British Columbia Discovery Fund Inc. (the “Fund”),2020-12-01,Liquidation,Financial Services,British Columbia,https://insolvencyinsider.ca/filing/british-columbia-discovery-fund-inc-the-fund/
110,"Tyler Smith, Pamela Smith, Smith Northern Ranching, and 101197829 Saskatchewan Ltd. (collectively, the “Debtors”)",2020-12-01,Receivership,Agriculture,Saskatchewan,https://insolvencyinsider.ca/filing/tyler-smith-pamela-smith-smith-northern-ranching-and-101197829-saskatchewan-ltd-collectively-the-debtors/
111,Maple Medi Pharma Inc. et al.,2020-11-30,Receivership,Healthcare,Ontario,https://insolvencyinsider.ca/filing/maple-medi-pharma-inc-et-al/
112,"6773982 Canada Inc. and 6317081 Canada Inc. (collectively, the “Debtors”)",2020-11-30,Receivership,Other,Ontario,https://insolvencyinsider.ca/filing/6773982-canada-inc-and-6317081-canada-inc-collectively-the-debtors/
113,"33 Laird Inc., 33 Laird GP Inc. and 33 Laird Limited Partnership",2020-11-28,NOI,Real Estate,Ontario,https://insolvencyinsider.ca/filing/33-laird-inc-33-laird-gp-inc-and-33-laird-limited-partnership/
114,Brightstar Newcastle Corporation,2020-11-25,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/brightstar-newcastle-corporation/
115,Akinvest — XPT Inc. (“Akinvest”),2020-11-24,Liquidation / Receivership,Automotive,Ontario,https://insolvencyinsider.ca/filing/akinvest-xpt-inc-akinvest/
116,Nabis Holdings Inc. (CSE:NAB),2020-11-23,Proposal,Financial Services,Ontario,https://insolvencyinsider.ca/filing/nabis-holdings-inc-csenab/
117,Globeways Canada Inc. (“Globeways”),2020-11-19,Receivership,Distribution,Ontario,https://insolvencyinsider.ca/filing/globeways-canada-inc-globeways/
118,Fossil Water Corporation,2020-11-19,Receivership,Professional Services,Alberta,https://insolvencyinsider.ca/filing/fossil-water-corporation/
119,853405 Alberta Ltd.,2020-11-18,Bankruptcy,Other,Alberta,https://insolvencyinsider.ca/filing/853405-alberta-ltd/
120,Metropolitan Ice Cream Inc.,2020-11-17,Receivership,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/metropolitan-ice-cream-inc/
121,Nauss Pluming & Heating Inc.,2020-11-13,Receivership,Professional Services,Ontario,https://insolvencyinsider.ca/filing/nauss-pluming-heating-inc/
122,Dine Under the Stars,2020-11-10,Bankruptcy,Food & Accommodation,British Columbia,https://insolvencyinsider.ca/filing/dine-under-the-stars/
123,"Trigger Wholesale Inc., The En Carde Group Inc., Mark Gdak, Jaimee Lynn Gdak and Jaimak Real Properties Inc.",2020-11-09,Receivership,Distribution,Ontario,https://insolvencyinsider.ca/filing/trigger-wholesale-inc-the-en-carde-group-inc-mark-gdak-jaimee-lynn-gdak-and-jaimak-real-properties-inc/
124,King Street Restaurant Group,2020-11-09,CCAA,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/king-street-restaurant-group/
125,Exponential Group,2020-11-04,Receivership,Financial Services,Ontario,https://insolvencyinsider.ca/filing/exponential-group/
126,Curexe Inc.,2020-11-02,Liquidation,Financial Services,Ontario,https://insolvencyinsider.ca/filing/curexe-inc/
127,Directions East Retail Ltd.,2020-10-30,NOI,Retail,Ontario,https://insolvencyinsider.ca/filing/directions-east-retail-ltd/
128,Centre City Real Estate Inc. (o/a Re/Max Centre City Realty Inc.) (“Centre City”),2020-10-30,Receivership,Financial Services,British Columbia,https://insolvencyinsider.ca/filing/centre-city-real-estate-inc-o-a-re-max-centre-city-realty-inc-centre-city/
129,Welland Forge Corp.,2020-10-27,NOI,Manufacturing,Ontario,https://insolvencyinsider.ca/filing/welland-forge-corp/
130,1075397 Alberta Ltd.,2020-10-27,Receivership,Other,Alberta,https://insolvencyinsider.ca/filing/1075397-alberta-ltd/
131,"Unionville Re-Dev Corporation, Unionville Re-Dev Phase 2 Corporation, AND Blacksmith Partners Inc.",2020-10-27,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/unionville-re-dev-corporation-unionville-re-dev-phase-2-corporation-and-blacksmith-partners-inc/
132,Le Château Inc. (TSX:CTU),2020-10-23,CCAA,Retail,Quebec,https://insolvencyinsider.ca/filing/le-chateau-inc-tsxctu/
133,reDock Inc.,2020-10-23,Bankruptcy,Technology,Ontario,https://insolvencyinsider.ca/filing/redock-inc/
134,HOW Fashions International Inc.,2020-10-22,NOI,Distribution,Quebec,https://insolvencyinsider.ca/filing/how-fashions-international-inc/
135,Hacienda Sarria,2020-10-21,Bankruptcy,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/hacienda-sarria/
136,Dubh Linn Gate Partners (Vancouver) Company,2020-10-20,Bankruptcy,Food & Accommodation,British Columbia,https://insolvencyinsider.ca/filing/dubh-linn-gate-partners-vancouver-company/
137,Butternut Manor Uxbridge Inc.,2020-10-20,Sales Officer,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/butternut-manor-uxbridge-inc/
138,Sunniva Inc. (CNE: SNN),2020-10-19,CCAA,Cannabis,British Columbia,https://insolvencyinsider.ca/filing/sunniva-inc-cne-snn/
139,Mallinckrodt Canada ULC,2020-10-16,CCAA,Healthcare,Ontario,https://insolvencyinsider.ca/filing/mallinckrodt-canada-ulc/
140,G.I. Sportz Inc.,2020-10-15,Receivership,Manufacturing,Quebec,https://insolvencyinsider.ca/filing/g-i-sportz-inc/
141,Express Gold Refining Ltd.,2020-10-15,CCAA,Other,Ontario,https://insolvencyinsider.ca/filing/express-gold-refining-ltd/
142,Coulee Craft Brewing Corp.,2020-10-13,Receivership,Food & Accommodation,Alberta,https://insolvencyinsider.ca/filing/coulee-craft-brewing-corp/
143,Family Fitness Inc.,2020-10-13,Receivership,Other,Saskatchewan,https://insolvencyinsider.ca/filing/family-fitness-inc/
144,"Swimco Aquatic Supplies Ltd. and Swimco Partnership (collectively, the “Swimco Group”)",2020-10-10,Bankruptcy,Retail,Alberta,https://insolvencyinsider.ca/filing/swimco-aquatic-supplies-ltd-and-swimco-partnership-collectively-the-swimco-group/
145,"Concession Medical Pharmacy Ltd. (“Concession”), 2110044 Ontario Inc., 2589266 Ontario Inc., Concession Integrative Health Inc., and 2115265 Ontario Inc.",2020-10-09,Receivership,Healthcare,Ontario,https://insolvencyinsider.ca/filing/concession-medical-pharmacy-ltd-concession-2110044-ontario-inc-2589266-ontario-inc-concession-integrative-health-inc-and-2115265-ontario-inc/
146,Westbury National Show System Ltd.,2020-10-09,Receivership,Media,Ontario,https://insolvencyinsider.ca/filing/westbury-national-show-system-ltd/
147,Greenfire Oil and Gas Ltd. and Greenfire Hangingstone Operating Corporation,2020-10-08,NOI,Technology,Alberta,https://insolvencyinsider.ca/filing/greenfire-oil-and-gas-ltd-and-greenfire-hangingstone-operating-corporation/
148,Okaïdi Canada,2020-10-07,NOI,Retail,Ontario / Quebec,https://insolvencyinsider.ca/filing/okaidi-canada/
149,Konnect Brookside Villas Limited Partnership and Konnect Brookside Holdings Ltd.,2020-10-06,Receivership,Real Estate,British Columbia,https://insolvencyinsider.ca/filing/konnect-brookside-villas-limited-partnership-and-konnect-brookside-holdings-ltd/
150,"Glenogle Energy Inc. and Glenogle Energy Limited Partnership (collectively, “Glenogle”)",2020-10-05,CCAA,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/glenogle-energy-inc-and-glenogle-energy-limited-partnership-collectively-glenogle/
151,Kings Cargo Express Ltd. (“Kings Cargo”) and Canada Cargo Lines Ltd.,2020-10-05,Receivership,Transportation,Manitoba,https://insolvencyinsider.ca/filing/kings-cargo-express-ltd-kings-cargo-and-canada-cargo-lines-ltd/
152,Fun and Fitness Trampolines Inc.,2020-10-03,NOI,Entertainment,Ontario,https://insolvencyinsider.ca/filing/fun-and-fitness-trampolines-inc/
153,"Viva Financial Inc., Simply Comfort Inc., Consumers Choice Comfort Services Inc., and Ontario Consumers Home Services Inc., (“OCHS”)",2020-10-01,Bankruptcy,Other,Ontario,https://insolvencyinsider.ca/filing/viva-financial-inc-simply-comfort-inc-consumers-choice-comfort-services-inc-and-ontario-consumers-home-services-inc-ochs/
154,Creditloans Canada Financing Inc. (o/a “Progressa”) and Creditloans Canada Capital Inc. (“Capital Inc.”),2020-09-30,CCAA,Financial Services,British Columbia,https://insolvencyinsider.ca/filing/creditloans-canada-financing-inc-o-a-progressa-and-creditloans-canada-capital-inc-capital-inc/
155,"JMX Contracting Inc., JMX Leasing Inc., JMX National Inc. and BRND Properties Inc. (the “JMX Group”)",2020-09-29,NOI,Construction,Ontario,https://insolvencyinsider.ca/filing/jmx-contracting-inc-jmx-leasing-inc-jmx-national-inc-and-brnd-properties-inc-the-jmx-group/
156,1140402 Ontario Inc.,2020-09-28,Receivership,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/1140402-ontario-inc/
157,2505243 Ontario Limited,2020-09-24,NOI,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/2505243-ontario-limited/
158,Hematite Group,2020-09-18,CCAA,Automotive,Ontario,https://insolvencyinsider.ca/filing/hematite-group/
159,"Turuss (Canada) Industry Co., Ltd.",2020-09-18,Receivership,Manufacturing,Ontario,https://insolvencyinsider.ca/filing/turuss-canada-industry-co-ltd/
